조회년도,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,광양,입항,국적선,8716398,27,2713,64,3348,37762,421,135,33752,41946,0,5250,4294551,1300057,140739,0,474053,107232,4783,592583,50990,146,423,141243,872955,69224,165589,3832,51649,172255,48485,1182,99009
2017,광양,입항,외국선,149340839,5008,10237,36720,33218,1424918,112851,1820,667493,557557,21,101668,22505799,33125724,7850414,39587150,26643391,5451616,419762,2500167,588037,3799,8366,1038855,2850500,441174,656586,277527,336728,607622,114232,48660,1333219
2017,광양,입항,수출입계,158057237,5035,12950,36784,36566,1462680,113272,1955,701245,599503,21,106918,26800350,34425781,7991153,39587150,27117444,5558848,424545,3092750,639027,3945,8789,1180098,3723455,510398,822175,281359,388377,779877,162717,49842,1432228
2017,광양,입항,연안선,14138244,0,0,2923,7424,9104,0,0,7942,2432421,58294,1098,0,348796,6769858,0,1733570,236402,0,860820,1611,0,0,15316,166804,10427,1138807,581,3519,2500,549,0,329478
2017,광양,입항,총계,172195481,5035,12950,39707,43990,1471784,113272,1955,709187,3031924,58315,108016,26800350,34774577,14761011,39587150,28851014,5795250,424545,3953570,640638,3945,8789,1195414,3890259,520825,1960982,281940,391896,782377,163266,49842,1761706
2017,광양,출항,국적선,9023408,0,2856,0,501,2884,2177,892,63283,0,0,0,0,2542,34073,0,2638544,270873,48186,1006265,347417,1326,0,11881,922309,8409,3227448,5544,14959,6441,22368,385,381845
2017,광양,출항,외국선,55165291,3308,2513,7559,19937,40187,9299,32099,189275,172,0,767,0,7563,910697,3278517,24474848,790130,688432,3773927,3029705,21964,109,67111,3536403,258950,8489337,182977,769256,322233,2144322,8066,2105628
2017,광양,출항,수출입계,64188699,3308,5369,7559,20438,43071,11476,32991,252558,172,0,767,0,10105,944770,3278517,27113392,1061003,736618,4780192,3377122,23290,109,78992,4458712,267359,11716785,188521,784215,328674,2166690,8451,2487473
2017,광양,출항,연안선,18974134,0,0,0,0,173,0,0,1331,592785,50832,10419,0,0,3164969,0,10030086,514485,0,1218623,9914,36,0,0,30354,25316,3195523,1208,16768,18,384,83,110827
2017,광양,출항,총계,83162833,3308,5369,7559,20438,43244,11476,32991,253889,592957,50832,11186,0,10105,4109739,3278517,37143478,1575488,736618,5998815,3387036,23326,109,78992,4489066,292675,14912308,189729,800983,328692,2167074,8534,2598300
2017,광양,입항환적,국적선,746453,0,262,0,0,29,0,57,1242,0,0,0,0,0,17805,0,2905,6848,1063,28538,4788,207,0,1739,161459,1303,9699,48732,23503,44943,369438,492,21401
2017,광양,입항환적,외국선,16307062,2287,27041,2241,5373,46186,30202,5018,170037,15,0,92,0,2467,30036,6140736,691174,56625,14109,1521829,153405,12679,30925,410761,591322,5267,134808,356276,374402,297141,4811489,1247,381872
2017,광양,입항환적,수출입계,17053515,2287,27303,2241,5373,46215,30202,5075,171279,15,0,92,0,2467,47841,6140736,694079,63473,15172,1550367,158193,12886,30925,412500,752781,6570,144507,405008,397905,342084,5180927,1739,403273
2017,광양,입항환적,연안선,1073510,0,49,0,154,137,85,0,118,0,0,0,0,0,167350,0,27,0,0,64559,4715,193,0,763,13427,0,6042,14397,61479,26459,709221,0,4335
2017,광양,입항환적,총계,18127025,2287,27352,2241,5527,46352,30287,5075,171397,15,0,92,0,2467,215191,6140736,694106,63473,15172,1614926,162908,13079,30925,413263,766208,6570,150549,419405,459384,368543,5890148,1739,407608
2017,광양,출항환적,국적선,779587,0,0,0,0,1048,88,21,1412,0,0,0,0,370,14,0,13475,0,389,7263,4919,579,0,1792,25706,0,618,4824,810,0,651350,24,64885
2017,광양,출항환적,외국선,17452181,7240,26960,2413,5595,44501,26200,4482,174083,15,0,0,0,1939,19828,6618722,410900,1347,14190,1423083,161138,13935,28731,367686,640262,7955,191381,448034,474664,125801,5616789,1730,592577
2017,광양,출항환적,수출입계,18231768,7240,26960,2413,5595,45549,26288,4503,175495,15,0,0,0,2309,19842,6618722,424375,1347,14579,1430346,166057,14514,28731,369478,665968,7955,191999,452858,475474,125801,6268139,1754,657462
2017,광양,출항환적,연안선,562338,0,177,0,49,523,1091,0,4404,0,0,0,0,0,347,0,0,0,0,6384,447,70,1522,45818,2730,0,2270,72475,411117,690,7859,0,4365
2017,광양,출항환적,총계,18794106,7240,27137,2413,5644,46072,27379,4503,179899,15,0,0,0,2309,20189,6618722,424375,1347,14579,1436730,166504,14584,30253,415296,668698,7955,194269,525333,886591,126491,6275998,1754,661827
2018,광양,입항,국적선,5996771,107,2984,2537,628,18637,22457,223,28257,448,0,0,3021349,0,91720,0,399568,149407,4654,485560,50938,565,360,334816,800059,36345,252405,6790,60445,63658,35117,24410,102327
2018,광양,입항,외국선,154009398,14615,20237,50253,7808,1388709,80601,4023,1170975,183021,458,204575,23583527,34363885,7902307,41454762,24233055,5569281,403723,2714650,1200379,9634,8163,2457649,3088706,429924,624023,426118,324490,341626,131121,237853,1379247
2018,광양,입항,수출입계,160006169,14722,23221,52790,8436,1407346,103058,4246,1199232,183469,458,204575,26604876,34363885,7994027,41454762,24632623,5718688,408377,3200210,1251317,10199,8523,2792465,3888765,466269,876428,432908,384935,405284,166238,262263,1481574
2018,광양,입항,연안선,13386654,0,0,0,0,0,0,0,0,1889141,16324,0,0,410912,6281348,74253,1424025,563682,0,1051052,0,0,0,0,0,5469,1214516,0,6958,103,0,0,448871
2018,광양,입항,총계,173392823,14722,23221,52790,8436,1407346,103058,4246,1199232,2072610,16782,204575,26604876,34774797,14275375,41529015,26056648,6282370,408377,4251262,1251317,10199,8523,2792465,3888765,471738,2090944,432908,391893,405387,166238,262263,1930445
2018,광양,출항,국적선,10035344,515,3390,196,424,11252,1084,4810,45620,30110,323,704,0,2592,65171,26745,2818475,122912,50661,1310391,739927,868,77,28920,1279292,8215,3247394,18969,48332,6160,13071,1169,147575
2018,광양,출항,외국선,57215925,12301,15599,4879,11879,66211,11973,34442,248391,66197,125,22350,0,4091,1580005,3292976,24252233,295828,704505,4206856,4079173,91927,1172,89458,3091431,107566,8431376,200352,1106038,296617,3328750,23278,1537946
2018,광양,출항,수출입계,67251269,12816,18989,5075,12303,77463,13057,39252,294011,96307,448,23054,0,6683,1645176,3319721,27070708,418740,755166,5517247,4819100,92795,1249,118378,4370723,115781,11678770,219321,1154370,302777,3341821,24447,1685521
2018,광양,출항,연안선,20206265,0,0,0,0,0,0,0,0,369477,16225,0,472305,0,3245937,1667874,9855496,448864,15272,901851,0,0,0,0,0,60172,3115015,4000,2100,0,0,0,31677
2018,광양,출항,총계,87457534,12816,18989,5075,12303,77463,13057,39252,294011,465784,16673,23054,472305,6683,4891113,4987595,36926204,867604,770438,6419098,4819100,92795,1249,118378,4370723,175953,14793785,223321,1156470,302777,3341821,24447,1717198
2018,광양,입항환적,국적선,733232,0,169,28,0,1215,0,39,2637,0,0,0,0,0,5440,0,18319,0,3606,35834,8245,976,0,1580,409503,1696,13179,45530,13174,19292,132490,1181,19099
2018,광양,입항환적,외국선,19710626,3634,27704,7304,14875,79468,37272,9688,130496,0,239,23843,0,20677,117028,9591742,485026,19,35048,757213,269622,32830,40781,263032,986489,7805,214251,319257,504062,224043,4748084,76878,682216
2018,광양,입항환적,수출입계,20443858,3634,27873,7332,14875,80683,37272,9727,133133,0,239,23843,0,20677,122468,9591742,503345,19,38654,793047,277867,33806,40781,264612,1395992,9501,227430,364787,517236,243335,4880574,78059,701315
2018,광양,입항환적,연안선,199520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57932,84549,3861,0,49978,0,0,0,0,0,0,0,0,0,0,0,0,3200
2018,광양,입항환적,총계,20643378,3634,27873,7332,14875,80683,37272,9727,133133,0,239,23843,0,20677,122468,9649674,587894,3880,38654,843025,277867,33806,40781,264612,1395992,9501,227430,364787,517236,243335,4880574,78059,704515
2018,광양,출항환적,국적선,559498,0,104,1400,132,6951,1767,128,8465,0,0,0,0,1039,5356,0,9423,6461,87,8934,6049,2386,0,2566,183886,0,2396,8247,1883,89,273972,0,27777
2018,광양,출항환적,외국선,19871009,10069,27696,5674,14884,68954,38690,9085,124381,35,231,111,0,15379,112150,9583676,336100,0,39037,684558,390669,31244,42105,452694,938519,9429,258462,360327,485941,390634,4690651,22380,727244
2018,광양,출항환적,수출입계,20430507,10069,27800,7074,15016,75905,40457,9213,132846,35,231,111,0,16418,117506,9583676,345523,6461,39124,693492,396718,33630,42105,455260,1122405,9429,260858,368574,487824,390723,4964623,22380,755021
2018,광양,출항환적,연안선,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,광양,출항환적,총계,20432788,10069,27800,7074,15016,75905,40457,9213,132846,35,231,111,0,16418,117506,9583676,347804,6461,39124,693492,396718,33630,42105,455260,1122405,9429,260858,368574,487824,390723,4964623,22380,755021
2019,광양,입항,국적선,5644575,1485,6013,1377,311,19732,29735,415,46888,21,0,661,2517983,0,134638,0,532849,137295,6374,497781,59475,1053,120,285566,799121,11313,209159,12525,49037,32853,72379,8441,169975
2019,광양,입항,외국선,155572365,10041,15022,103754,1080500,1242486,71905,6367,1259503,6991,26,28064,23747001,34204059,6778359,43160686,26000400,5489036,384316,2335703,830264,5869,6699,1611502,2813637,545360,962959,474879,181524,173123,173809,129188,1739333
2019,광양,입항,수출입계,161216940,11526,21035,105131,1080811,1262218,101640,6782,1306391,7012,26,28725,26264984,34204059,6912997,43160686,26533249,5626331,390690,2833484,889739,6922,6819,1897068,3612758,556673,1172118,487404,230561,205976,246188,137629,1909308
2019,광양,입항,연안선,13620335,0,0,0,0,0,0,0,0,1797163,76078,313197,0,273518,6475188,4558,1275511,508983,0,950761,0,0,0,0,0,28080,1491318,0,1035,0,109,0,424836
2019,광양,입항,총계,174837275,11526,21035,105131,1080811,1262218,101640,6782,1306391,1804175,76104,341922,26264984,34477577,13388185,43165244,27808760,6135314,390690,3784245,889739,6922,6819,1897068,3612758,584753,2663436,487404,231596,205976,246297,137629,2334144
2019,광양,출항,국적선,10456310,2680,3288,1358,406,12729,1701,4568,60631,30548,0,6104,0,535,48737,0,2285475,177298,41579,1215201,1179712,2029,203,16563,1233898,9537,3822818,14213,60994,14494,23754,2248,183009
2019,광양,출항,외국선,58807501,7722,19596,2090,7369,87681,11740,42510,354936,104128,1006,0,55000,896,1202245,3630599,24521182,292040,703265,4272392,4659842,41238,5535,112029,4151692,127995,8586694,185890,845215,855899,2714831,17149,1187095
2019,광양,출항,수출입계,69263811,10402,22884,3448,7775,100410,13441,47078,415567,134676,1006,6104,55000,1431,1250982,3630599,26806657,469338,744844,5487593,5839554,43267,5738,128592,5385590,137532,12409512,200103,906209,870393,2738585,19397,1370104
2019,광양,출항,연안선,20049981,0,0,0,0,0,0,0,0,335659,216390,0,1089003,0,3176762,1614004,9216948,460748,0,902109,0,0,0,0,0,17963,2865688,0,67145,0,77,0,87485
2019,광양,출항,총계,89313792,10402,22884,3448,7775,100410,13441,47078,415567,470335,217396,6104,1144003,1431,4427744,5244603,36023605,930086,744844,6389702,5839554,43267,5738,128592,5385590,155495,15275200,200103,973354,870393,2738662,19397,1457589
